x,y,z,r
0.075,2.2249999999999996,17.0462,0.025
0.125,2.2249999999999996,17.0462,0.025
0.175,2.2249999999999996,17.0462,0.025
0.22499999999999998,2.2249999999999996,17.0462,0.025
0.27499999999999997,2.2249999999999996,17.0462,0.025
0.325,2.2249999999999996,17.0462,0.025
0.375,2.2249999999999996,17.0462,0.025
0.425,2.2249999999999996,17.0462,0.025
0.475,2.2249999999999996,17.0462,0.025
0.025,2.275,17.0462,0.025
0.075,2.275,17.0462,0.025
0.125,2.275,17.0462,0.025
0.175,2.275,17.0462,0.025
0.22499999999999998,2.275,17.0462,0.025
0.27499999999999997,2.275,17.0462,0.025
0.325,2.275,17.0462,0.025
0.375,2.275,17.0462,0.025
0.425,2.275,17.0462,0.025
0.475,2.275,17.0462,0.025
0.025,2.3249999999999997,17.0462,0.025
0.075,2.3249999999999997,17.0462,0.025
0.125,2.3249999999999997,17.0462,0.025
0.175,2.3249999999999997,17.0462,0.025
0.22499999999999998,2.3249999999999997,17.0462,0.025
0.27499999999999997,2.3249999999999997,17.0462,0.025
0.325,2.3249999999999997,17.0462,0.025
0.375,2.3249999999999997,17.0462,0.025
0.425,2.3249999999999997,17.0462,0.025
0.475,2.3249999999999997,17.0462,0.025
0.025,2.3749999999999996,17.0462,0.025
0.075,2.3749999999999996,17.0462,0.025
0.125,2.3749999999999996,17.0462,0.025
0.175,2.3749999999999996,17.0462,0.025
0.22499999999999998,2.3749999999999996,17.0462,0.025
0.27499999999999997,2.3749999999999996,17.0462,0.025
0.325,2.3749999999999996,17.0462,0.025
0.375,2.3749999999999996,17.0462,0.025
0.425,2.3749999999999996,17.0462,0.025
0.475,2.3749999999999996,17.0462,0.025
0.025,2.425,17.0462,0.025
0.475,2.425,17.0462,0.025
0.025,2.4749999999999996,17.0462,0.025
0.475,2.4749999999999996,17.0462,0.025
0.025,2.525,17.0462,0.025
0.475,2.525,17.0462,0.025
0.025,2.5749999999999997,17.0462,0.025
0.475,2.5749999999999997,17.0462,0.025
0.025,2.6249999999999996,17.0462,0.025
0.075,2.6249999999999996,17.0462,0.025
0.125,2.6249999999999996,17.0462,0.025
0.175,2.6249999999999996,17.0462,0.025
0.22499999999999998,2.6249999999999996,17.0462,0.025
0.27499999999999997,2.6249999999999996,17.0462,0.025
0.325,2.6249999999999996,17.0462,0.025
0.375,2.6249999999999996,17.0462,0.025
0.425,2.6249999999999996,17.0462,0.025
0.475,2.6249999999999996,17.0462,0.025
0.025,2.675,17.0462,0.025
0.075,2.675,17.0462,0.025
0.125,2.675,17.0462,0.025
0.175,2.675,17.0462,0.025
0.22499999999999998,2.675,17.0462,0.025
0.27499999999999997,2.675,17.0462,0.025
0.325,2.675,17.0462,0.025
0.375,2.675,17.0462,0.025
0.425,2.675,17.0462,0.025
0.475,2.675,17.0462,0.025
0.025,2.7249999999999996,17.0462,0.025
0.075,2.7249999999999996,17.0462,0.025
0.125,2.7249999999999996,17.0462,0.025
0.175,2.7249999999999996,17.0462,0.025
0.22499999999999998,2.7249999999999996,17.0462,0.025
0.27499999999999997,2.7249999999999996,17.0462,0.025
0.325,2.7249999999999996,17.0462,0.025
0.375,2.7249999999999996,17.0462,0.025
0.425,2.7249999999999996,17.0462,0.025
0.475,2.7249999999999996,17.0462,0.025
0.025,2.7749999999999995,17.0462,0.025
0.075,2.7749999999999995,17.0462,0.025
0.125,2.7749999999999995,17.0462,0.025
0.175,2.7749999999999995,17.0462,0.025
